Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
1531,V6 | V14 | V15,0.5387126482411584,0.5326149283922244,0.5848714887884765,0.6285245063333756,0.4961288348472361,0.7314373552879223,0.07553483049249898,0.40456230697610235,0.05654840227200557,0.8930205527202271,0.07745458908339498,0.4310713389894588,1.998122301892527,1.5054440758066088,0.420497041153736
1532,V6 | V11 | V25,0.5385741161576207,0.5046816709450834,0.7007907301193502,0.4705779938021261,0.4339744955729407,0.7501372310450148,0.08774633713089264,0.55197570135536,0.07736579325574822,0.9415862888407729,0.12669341114496718,0.45477727440214266,1.3856248255263413,1.7301783378120936,0.4204845697462786
1533,V5 | V14 | V24,0.5396911353808832,0.5397252002878615,0.5674357059921246,0.7042396596276088,0.48141551215603645,0.733299020650826,0.04716936284461191,0.34755157672202863,0.015221669269550401,0.9381413216362928,0.11449701495385771,0.4691951315422964,3.5017602584319314,0.802720621762845,0.42047646229142277
1534,V11 | V22 | V27,0.5955441013020144,0.48345696291835666,0.7055146962877461,0.4329222616989511,0.45589133273101246,0.8286550483714089,0.006914880730850121,0.6763547384518867,0.013968303719739016,0.9220087999078483,0.07346249393651065,0.18579437990308767,14.802433685493975,0.14371594574020533,0.42044770974869805
1535,V3 | V4 | V26,0.5962061616220555,0.6083142698016724,0.5484243007490303,0.7493679953645291,0.6127031963492892,0.22197525833216097,0.07050284743892114,0.45744202341269813,0.12153823500910743,0.8865969087244391,0.20765734709862446,0.29945957526112515,1.2242485691811813,1.3833457503200224,0.4203567518594306
1536,V18 | V19 | V21,0.6676299288509705,0.5163615388119794,0.631256870349456,0.41754703758277345,0.4110850916291097,0.913585328889876,0.022608037046929035,0.4175774642647617,0.016839893202593752,0.9753705672489558,0.10917785790360048,0.47214324782808725,11.125474506063274,0.2675019694962697,0.42032186606581234
1537,V7 | V9 | V23,0.6645670221007011,0.5443893455048887,0.4738875543333652,0.632045031563351,0.47285050731990474,0.9514008427861035,0.027254652083157388,0.1862666706603221,0.002514263107979486,0.7032867532034561,0.0930333769501067,0.5473465796372243,13.203963435659066,0.3314862197332665,0.4202500822730877
1538,V7 | V18 | V25,0.5681321251668743,0.46932294634413685,0.6077793286807126,0.6088349387612438,0.39640316207811405,0.9000376521329807,0.025629462514487878,0.48248257243054293,0.007583014879805296,0.9022957420581617,0.18680033255224265,0.5820947279180074,14.936306987553147,0.25993014344110327,0.420236034649334
1539,V4 | V23 | V28,0.6889688650881022,0.49846075017742,0.6837382687686889,0.46149771750429586,0.5008789384727468,0.9385041744972747,0.020091072999337708,0.05084204276863055,0.0006736174731664352,0.9352683154738249,0.033572305353749096,0.3561618150076352,10.567156114477024,0.31064504892125294,0.4201771047907896
1540,V6 | V11 | V22,0.5208891212781891,0.4910563919319026,0.6879702396559928,0.4755796551288648,0.42773910248212843,0.7764221815071617,0.09729905657952942,0.5777375720363124,0.07968305200081556,0.9209837144807727,0.15590850463133557,0.4708888666652653,1.1690131374341903,1.933542876748628,0.4201747481575734
