Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
194,V12 | V22,0.5252140350443141,0.4721895258848607,0.6856274262895082,0.6823576869346948,0.45306220795155405,0.6183841616304006,0.06803426136292438,0.4266924253960281,0.09727903284139251,0.9795952578002797,0.09872027813794858,0.47880456927238324,0.9575080377689675,1.1282484700542676,0.41876788141547405
195,V3 | V19,0.700667840072991,0.6010329918500767,0.4612467149745387,0.754927048024057,0.517111031691924,0.2712669571467284,0.07421521245846986,0.44429506803580443,0.08007169345676454,0.9777275726645958,0.12835722512566947,0.4037370779608461,0.8891593674026481,1.3525318046168773,0.41831957998804475
196,V2 | V8,0.7242443312742481,0.5769367810767847,0.27824344299648823,0.6754513631457995,0.48647419216667753,0.936651675935594,0.04919904462133007,0.048249114454125414,0.005997903309533832,0.9900652728559226,0.026329273203384202,0.6446284861040823,5.834144925589938,0.815927134093792,0.41799814772913263
197,V12 | V26,0.48053218349606786,0.4937583559280391,0.7022279016041972,0.670344553993126,0.4694675606199236,0.6236470828020173,0.0730276567913787,0.3864215076753926,0.10546721420642781,0.9831492081247803,0.07219174157730246,0.5353470898674154,0.7765339300147034,1.1551438041676263,0.41683328156671057
198,V2 | V19,0.6714548866568938,0.5548422941847969,0.4201605579328672,0.5443718077944865,0.4516230084919211,0.8887978035321402,0.06825924044587768,0.247550010199965,0.02316451514605285,0.9973059075865343,0.06005749624540588,0.6581079992578541,3.2867602981353623,1.2326262389150187,0.41598875502296206
199,V7 | V8,0.7443550517520815,0.5948783506976428,0.20097810995255028,0.7792046803383479,0.4992636978456483,0.9401105894215172,0.06236453445851354,0.07351585913108288,0.00214875758378949,0.4250150290575904,0.03428141175394213,0.6624131014624991,3.5785956698413175,1.0832579776242834,0.4156648909565332
200,V1 | V28,0.596061725248066,0.47351393545596193,0.6372611981699966,0.5880830407202461,0.402595249966581,0.9404604346499353,0.13857800978548482,0.035407833422975446,0.0007606838032402402,0.6929486791440351,0.026722574028741907,0.6027351903397945,0.5362686096166893,2.778198452955194,0.41415234174049503
201,V14 | V22,0.5715184467973558,0.5108109279695972,0.6149426733306135,0.7225443004117446,0.5214651808923086,0.45909001261872195,0.02077809248880067,0.46289785068708367,0.08472586078854862,0.9877536746461987,0.10878628275634358,0.38968001707453265,5.536186299236429,0.2931033608222958,0.41383221351226546
202,V17 | V26,0.5035409758123349,0.46837213844861375,0.5801995631182053,0.7159540048204971,0.421721751639603,0.8353954651871818,0.0573083008801081,0.26500941558312135,0.023619206424953538,0.987801400333203,0.13512030480192308,0.6100566024341101,1.1591692786914103,0.7536979762128174,0.4129516370796146
203,V14 | V24,0.4964590238582345,0.557561774366009,0.6622855433189153,0.7151194491652342,0.5354293685093795,0.45318599655312297,0.021212630858794494,0.4200658435210533,0.09195614587654412,0.967679526931755,0.08322639931512946,0.4105687142410467,5.116944913206155,0.273518437250094,0.4124837097098862
