Features,Silhouette,Davies_Bouldin,Dist_Centroides,Overlap_GMM,KS,Wasserstein,ROC_AUC,Score_Final
V14 | V17,0.7646638631767005,0.9982848687737814,0.37649846111556096,0.9613570684527036,0.9629124285445909,0.9957319360810567,0.9999999999999998,0.9232341058324806
V7 | V18,0.7436522845260992,0.9979685675600731,0.3011066865919553,0.9365662708920984,0.688724403531843,0.555949509780208,0.7660673036503791,0.7455961518819976
V9 | V12,0.5828240418965744,0.9980145386621129,0.2109900965441937,0.9182164966771462,0.819163200128821,0.6245805980863444,0.8129629654660033,0.7453051908330636
V8 | V12,0.6618231660777595,0.9968764152721525,0.20321778479389865,0.9408598698082276,0.6871484930624515,0.638468162804368,0.7933177534091784,0.7451258654857785
V1 | V16,0.6959478935190403,0.9984346747807396,0.3764719314162786,0.9404553642194352,0.6880695633504201,0.6297110530438615,0.7068374601209357,0.7433406837255688
V7 | V9,0.6962059877584654,0.9976268762147583,0.259093043397401,0.9217309584725959,0.7346641260298972,0.5754328945732037,0.7647219695403022,0.7429758376324158
V5 | V10,0.643482016721744,0.9965553491150058,0.19878884945926628,0.9152076170694982,0.7391825232817154,0.6345951196952486,0.7851268042728099,0.7429406174704843
V8 | V10,0.6608521648647127,0.9953354316970393,0.15820983203034675,0.9529978551270266,0.6967907463567805,0.5961248191842061,0.8000782150038543,0.7420534396065176
V1 | V11,0.6695908744308172,0.9985104187294699,0.36201821860762295,0.941801281998019,0.7325117414991547,0.6024846978317967,0.7007915664762203,0.7399264836210213
V3 | V8,0.6449137636717889,0.9972654189966921,0.27475949899937585,0.9520428860875518,0.629987386275194,0.6915055314963356,0.7566328440840666,0.7392010304025478
V2 | V7,0.5640964316145795,0.9957373456742172,0.16835290713648718,0.9164223555186713,0.7711440916776254,0.6514808634852274,0.8143470466402016,0.7360893924799035
V7 | V21,0.7164100264325209,0.9971340899485722,0.22932832776384252,0.9608787249111874,0.6943678376855157,0.49307229951588066,0.7916245968165234,0.7359726749578587
V2 | V16,0.6255950367683649,0.9962880989781221,0.17146536584334027,0.9031333880230968,0.789427014841255,0.5490181971590429,0.8582690965581343,0.7356980582537385
V7 | V8,0.7181769441846526,0.9965290451031606,0.23651559594400037,0.967562162950606,0.6026494189635277,0.5893204592912273,0.7450767574834776,0.7343364281831134
V2 | V11,0.6119319674139929,0.996215589882361,0.1601968870995374,0.8991479478299081,0.8338691929899896,0.521791841946978,0.8522232029134187,0.7341245060897107
V5 | V7,0.6904447212539786,0.9969676022173196,0.2613885719378949,0.927238154224733,0.6450411958884626,0.62779075980227,0.7301253467524329,0.7319996446830677
V1 | V4,0.6289879224151194,0.9984016603770495,0.33839992792292134,0.9029864282918649,0.7388980435307694,0.6555638628760013,0.6922018830172068,0.731106157259821
V17 | V19,0.7435996400872438,0.9978051417263787,0.25903302586319615,0.925355644318597,0.6298156249161322,0.5542294833654562,0.7655753060454882,0.7306053733623267
V17 | V28,0.701114770241546,0.9973144324492356,0.21240627153588226,0.9430513555330873,0.6535809559593141,0.5161469787694434,0.84199397798536,0.7291865161879458
V14 | V19,0.704208169174497,0.9988769690973626,0.2586202470121088,0.9008252226216059,0.6868715278709644,0.5464215165710862,0.7885383481045252,0.7267707916478884
V2 | V4,0.5637398715398708,0.9966476119337592,0.17868313455980575,0.8717774530654294,0.8402554950216043,0.5748710069911825,0.8436335194544053,0.7262679834993231
V5 | V16,0.7099474968481372,0.9976643974085125,0.258605041343892,0.9329638013838593,0.6633241190520921,0.5253280934760853,0.7740473966703656,0.7258630067306711
V14 | V28,0.6494271870262416,0.9982484802941145,0.20663137876287874,0.9225737530590981,0.7106368589141463,0.5083390119750734,0.864957020044397,0.7232911112036186
V5 | V11,0.6788549691057868,0.9975363898903661,0.24342422345943246,0.9419396159740356,0.7077662972008267,0.4981017382640203,0.76800150302565,0.7231724036654901
V4 | V5,0.644952178459687,0.9977293886808588,0.2630193903719887,0.9230127862342863,0.7141525992324416,0.5511809033082251,0.7594118195666366,0.7209991236382903
V16 | V18,0.7198794326584226,0.99885569720005,0.23790227856675852,0.9086811119528503,0.7070073266954725,0.4534868434540233,0.8099893535683118,0.7202379055395486
V9 | V16,0.6633133905258254,0.9985676154164076,0.22917709492177207,0.9113762710902888,0.7529470491935268,0.472970228247019,0.8086440194582349,0.7197202728379613
V11 | V18,0.6665643136785755,0.9988361258968038,0.23641543838977147,0.9320080938010408,0.7514495048442073,0.4262604882419585,0.8039434599235962,0.7155794464794968
V9 | V11,0.6266510325507775,0.998503801672084,0.2122162351062447,0.9176224938465585,0.7973892273422614,0.4457438730349542,0.8025981258135195,0.7149548142561291
V10 | V27,0.6211358474950204,0.9961783041051627,0.13197170296870067,0.9303611181475356,0.759675800434771,0.44980318138169884,0.8455213124621821,0.7143221690201511
